sender,receiver,amount,timestamp
ACC001,ACC002,15000.00,2024-01-15T10:30:00Z
ACC002,ACC003,14900.00,2024-01-15T11:15:00Z
ACC003,ACC004,14800.00,2024-01-15T12:45:00Z
ACC004,ACC001,14700.00,2024-01-15T14:20:00Z
MULE_A,DEST001,500.00,2024-01-15T10:00:00Z
MULE_A,DEST002,600.00,2024-01-15T10:01:00Z
SRC001,MULE_A,5000.00,2024-01-15T09:00:00Z
SRC002,MULE_A,3000.00,2024-01-15T09:05:00Z
LAYER1,LAYER2,8000.00,2024-01-15T08:00:00Z
LAYER2,LAYER3,7900.00,2024-01-15T08:15:00Z
LAYER3,LAYER4,7800.00,2024-01-15T08:30:00Z
LAYER4,LAYER5,7700.00,2024-01-15T08:45:00Z
RAPID_S,DEST_R1,1000.00,2024-01-15T15:00:01Z
RAPID_S,DEST_R2,1000.00,2024-01-15T15:00:02Z
RAPID_S,DEST_R3,1000.00,2024-01-15T15:00:03Z
RAPID_S,DEST_R4,1000.00,2024-01-15T15:00:04Z
NORMAL1,NORMAL2,250.00,2024-01-15T09:30:00Z
NORMAL3,NORMAL4,15.50,2024-01-15T10:45:00Z
NORMAL1,NORMAL5,120.00,2024-01-15T14:15:00Z
